               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.043656,            0.028924,           0.0067335,             0.45685,             0.21111,             0.21082,             0.14731,            0.091331,            0.033627,            0.017088,            0.006073,            0.006073,            0.006073
                 121,            0.040544,            0.029154,            0.007501,             0.36148,                0.22,             0.21019,             0.11139,            0.092631,             0.03373,            0.016702,             0.00604,             0.00604,             0.00604
                 122,            0.041771,            0.031608,           0.0072706,             0.52121,             0.20386,             0.21824,             0.15456,            0.091232,            0.034405,            0.016212,            0.006007,            0.006007,            0.006007
                 123,            0.040148,            0.030887,           0.0064489,             0.48451,             0.25989,             0.25022,              0.1616,            0.093893,            0.033932,            0.014488,            0.005974,            0.005974,            0.005974
                 124,            0.045818,            0.028741,           0.0082298,             0.45693,             0.24002,             0.24232,             0.15193,            0.092684,             0.03521,            0.014653,            0.005941,            0.005941,            0.005941
                 125,            0.041527,            0.027684,           0.0058058,             0.55063,             0.26162,              0.2696,              0.1742,            0.092907,            0.034012,            0.014307,            0.005908,            0.005908,            0.005908
                 126,            0.042753,            0.030191,           0.0075229,             0.47031,             0.20422,             0.23819,             0.17112,            0.092139,            0.034187,            0.015102,            0.005875,            0.005875,            0.005875
                 127,            0.042917,            0.031321,           0.0065999,             0.47408,             0.19536,             0.22725,             0.14949,            0.084852,            0.036087,            0.014049,            0.005842,            0.005842,            0.005842
                 128,            0.039481,            0.025129,           0.0057623,             0.51578,             0.20413,             0.22969,             0.15496,            0.085988,            0.035255,            0.014124,            0.005809,            0.005809,            0.005809
                 129,            0.044841,            0.030567,           0.0064306,             0.52443,             0.20161,             0.23211,             0.14352,             0.08202,            0.037018,            0.013808,            0.005776,            0.005776,            0.005776
                 130,            0.043671,            0.032391,           0.0063435,              0.5369,             0.19663,             0.22769,             0.14673,            0.086364,            0.035789,            0.013376,            0.005743,            0.005743,            0.005743
                 131,            0.040846,            0.027413,           0.0076719,             0.51776,             0.19953,             0.20919,             0.14094,            0.085137,            0.038513,            0.015051,             0.00571,             0.00571,             0.00571
                 132,            0.043855,            0.029529,           0.0073174,             0.51496,              0.1944,             0.20739,             0.13661,            0.088505,            0.037582,            0.014971,            0.005677,            0.005677,            0.005677
                 133,            0.039314,            0.028115,           0.0059497,             0.38779,             0.20342,             0.19947,             0.14545,            0.087901,            0.037834,            0.014777,            0.005644,            0.005644,            0.005644
                 134,            0.036786,            0.027125,           0.0082678,             0.40442,             0.20222,             0.19822,             0.14913,            0.091312,            0.036163,            0.015205,            0.005611,            0.005611,            0.005611
                 135,            0.038045,            0.029323,           0.0064829,             0.89831,             0.18948,             0.21434,             0.14569,            0.091582,            0.036301,            0.016079,            0.005578,            0.005578,            0.005578
                 136,            0.040461,            0.026111,           0.0079199,              0.9254,             0.19291,             0.21594,             0.16013,            0.094797,            0.034767,            0.017651,            0.005545,            0.005545,            0.005545
                 137,            0.041133,            0.028169,           0.0064587,             0.88715,             0.19333,              0.2168,             0.17449,            0.094118,            0.035656,            0.018301,            0.005512,            0.005512,            0.005512
                 138,            0.037041,            0.029101,           0.0075112,             0.87132,             0.19778,              0.2135,             0.16289,            0.092397,             0.03685,            0.017251,            0.005479,            0.005479,            0.005479
                 139,            0.040234,            0.028122,           0.0045662,             0.82996,             0.20222,             0.21769,             0.15826,            0.093947,            0.035595,            0.017386,            0.005446,            0.005446,            0.005446
                 140,            0.045554,            0.027264,           0.0074054,             0.48353,             0.20149,             0.23251,             0.14361,            0.093134,            0.035545,            0.017812,            0.005413,            0.005413,            0.005413
                 141,            0.039324,            0.028881,            0.006496,             0.49564,             0.19137,             0.21658,             0.14916,             0.08813,            0.037689,            0.016869,             0.00538,             0.00538,             0.00538
                 142,            0.037709,             0.02687,           0.0077577,              0.4576,                0.18,             0.21619,             0.15339,            0.087896,            0.037575,            0.017049,            0.005347,            0.005347,            0.005347
                 143,            0.038613,            0.028331,           0.0063543,             0.39429,             0.20917,             0.21496,             0.15205,            0.087717,            0.037384,            0.016839,            0.005314,            0.005314,            0.005314
                 144,            0.039799,            0.027457,           0.0052109,             0.43005,             0.19976,             0.21221,             0.15051,            0.088177,            0.036652,            0.016635,            0.005281,            0.005281,            0.005281
                 145,            0.040464,            0.032563,           0.0082285,             0.46492,              0.2007,             0.21621,             0.15191,             0.08709,            0.037651,            0.017118,            0.005248,            0.005248,            0.005248
                 146,            0.034475,            0.025085,           0.0079592,             0.46257,             0.20222,             0.21985,             0.16334,            0.087329,            0.037384,            0.018354,            0.005215,            0.005215,            0.005215
                 147,            0.033796,            0.027832,           0.0045012,              0.4018,             0.20222,             0.20934,              0.1605,            0.082307,            0.038643,            0.015939,            0.005182,            0.005182,            0.005182
                 148,            0.045215,            0.027303,            0.006618,             0.56879,             0.20086,             0.22886,             0.15189,            0.085487,            0.037262,            0.016132,            0.005149,            0.005149,            0.005149
                 149,            0.041253,            0.027825,           0.0055169,             0.55721,             0.20222,             0.23182,             0.16211,            0.084504,            0.037766,            0.015809,            0.005116,            0.005116,            0.005116
                 150,            0.036893,             0.02755,           0.0086309,             0.55763,             0.20222,             0.23225,             0.16616,             0.08461,            0.037903,            0.015704,            0.005083,            0.005083,            0.005083
                 151,            0.035278,             0.02546,           0.0069665,             0.57784,              0.2015,             0.23072,             0.16095,            0.085412,             0.03894,            0.015198,             0.00505,             0.00505,             0.00505
                 152,            0.038006,            0.025448,            0.007824,                0.56,             0.20222,             0.23607,             0.14463,            0.088332,            0.038811,            0.015298,            0.005017,            0.005017,            0.005017
                 153,            0.038044,            0.026983,            0.006692,             0.58181,             0.20667,             0.22591,             0.15243,            0.089368,            0.038277,            0.015223,            0.004984,            0.004984,            0.004984
                 154,            0.037587,            0.027448,           0.0061671,             0.59402,             0.20635,             0.23171,             0.15708,             0.09234,            0.037079,            0.016068,            0.004951,            0.004951,            0.004951
                 155,             0.03537,            0.023637,           0.0042474,             0.58616,             0.20667,             0.22679,             0.15215,            0.090548,            0.037109,            0.016219,            0.004918,            0.004918,            0.004918
                 156,            0.037001,            0.023789,           0.0067559,             0.54913,             0.20667,             0.22391,             0.15795,            0.089228,            0.038437,             0.01585,            0.004885,            0.004885,            0.004885
                 157,            0.042919,            0.028741,           0.0058396,             0.58123,             0.20667,              0.2343,             0.16083,            0.087462,            0.039238,              0.0159,            0.004852,            0.004852,            0.004852
